                                                              REPORTE DE PEDIDOS
==========================================================================================================================================================================
Codigo Pedido       DNI Cliente         Subtotal            Fecha               Estado              Total               Prioridad           Recargo/Estado/Dias en espera
==========================================================================================================================================================================
JXD-139             50375303            64.82               01/12/2023          Inactivo            64.82               Prioridad Baja      5                   
CRU-009             50375303            49.38               27/11/2023          Activo              49.38               Prioridad Media     Activo              
YYK-309             22777006            69.37               11/11/2023          Inactivo            74.2259             Prioridad Alta      7                   
OTS-581             42157219            67.26               07/11/2023          Inactivo            71.9682             Prioridad Alta      7                   
AWB-345             13245501            67.6                19/12/2023          Activo              67.6                Prioridad Media     Activo              
IHG-413             33397650            55.69               24/12/2023          Inactivo            61.259              Prioridad Alta      10                  
KQQ-136             97403853            13.8                17/12/2023          Inactivo            14.49               Prioridad Alta      5                   
OQI-373             78757121            25.17               03/11/2023          Inactivo            25.17               Prioridad Baja      5                   
PVZ-181             26290971            89.72               25/12/2023          Inactivo            89.72               Prioridad Baja      3                   
ICX-503             27912250            20.29               27/12/2023          Inactivo            22.319              Prioridad Alta      10                  
DFF-034             98140264            59.57               08/12/2023          Inactivo            62.5485             Prioridad Alta      5                   
VCL-867             25171011            89.65               06/11/2023          Inactivo            89.65               Prioridad Media     Inactivo            
TZY-323             57263719            40.29               12/12/2023          Inactivo            44.319              Prioridad Alta      10                  
PJG-338             63437380            35.11               10/11/2023          Activo              35.11               Prioridad Media     Activo              
SSD-176             35584593            81.61               21/12/2023          Inactivo            85.6905             Prioridad Alta      5                   
BWD-036             60574154            81.06               05/11/2023          Inactivo            81.06               Prioridad Baja      5                   
FLJ-040             73535476            13.6                19/11/2023          Inactivo            13.6                Prioridad Media     Inactivo            
JDC-028             31193794            62.23               18/11/2023          Inactivo            62.23               Prioridad Baja      4                   
OTH-462             73185299            89.55               02/12/2023          Activo              89.55               Prioridad Media     Activo              
QIL-029             86828079            14.43               19/11/2023          Inactivo            14.43               Prioridad Baja      3                   
UWA-476             77484838            15.86               28/11/2023          Inactivo            15.86               Prioridad Baja      5                   
XOA-735             13245501            81.75               08/12/2023          Inactivo            81.75               Prioridad Baja      5                   
